"","dead","Number"
"1",0,1
"2",0,1
"3",0,1
"4",0,2
"5",0,2
"6",0,2
"7",0,2
"8",0,2
"9",0,2
"10",0,2
"11",0,2
"12",0,2
"13",0,2
"14",0,2
"15",0,2
"16",0,2
"17",0,2
"18",0,2
"19",0,2
"20",0,2
"21",0,2
"22",0,2
"23",0,2
"24",0,2
"25",0,2
"26",0,2
"27",0,2
"28",0,2
"29",0,2
"30",0,3
"31",0,3
"32",0,3
"33",0,3
"34",0,3
"35",0,3
"36",0,3
"37",0,3
"38",0,3
"39",0,3
"40",0,3
"41",0,3
"42",0,3
"43",0,3
"44",0,3
"45",0,3
"46",0,3
"47",0,3
"48",0,3
"49",0,3
"50",0,3
"51",0,3
"52",0,3
"53",0,3
"54",0,3
"55",0,3
"56",0,3
"57",0,3
"58",0,3
"59",0,3
"60",0,3
"61",0,4
"62",0,4
"63",0,4
"64",0,4
"65",0,4
"66",0,4
"67",0,5
"68",0,5
"69",0,5
"70",0,5
"71",0,5
"72",0,5
"73",0,5
"74",0,5
"75",0,5
"76",0,5
"77",0,5
"78",0,5
"79",0,5
"80",0,5
"81",0,5
"82",0,5
"83",0,5
"84",0,5
"85",0,5
"86",0,5
"87",0,5
"88",0,5
"89",0,5
"90",0,6
"91",0,6
"92",0,6
"93",0,6
"94",0,6
"95",0,6
"96",0,6
"97",0,6
"98",0,6
"99",0,6
"100",0,6
"101",0,6
"102",0,6
"103",0,6
"104",0,6
"105",0,6
"106",0,6
"107",0,6
"108",0,6
"109",0,6
"110",0,6
"111",0,6
"112",0,6
"113",0,6
"114",0,6
"115",0,6
"116",0,7
"117",0,7
"118",0,7
"119",0,7
"120",0,7
"121",0,7
"122",0,7
"123",0,7
"124",0,7
"125",0,7
"126",0,7
"127",0,7
"128",0,7
"129",0,7
"130",0,7
"131",0,7
"132",0,7
"133",0,7
"134",0,7
"135",0,7
"136",0,7
"137",0,7
"138",0,7
"139",0,7
"140",0,7
"141",0,7
"142",0,7
"143",0,7
"144",0,8
"145",0,9
"146",0,9
"147",0,9
"148",0,9
"149",0,9
"150",0,9
"151",0,9
"152",0,9
"153",0,9
"154",0,9
"155",0,9
"156",0,9
"157",0,10
"158",0,10
"159",0,10
"160",0,10
"161",0,10
"162",0,10
"163",0,10
"164",0,10
"165",0,10
"166",0,10
"167",0,10
"168",0,10
"169",0,10
"170",0,10
"171",0,10
"172",0,10
"173",0,10
"174",0,10
"175",0,10
"176",0,10
"177",0,10
"178",0,10
"179",0,10
"180",0,10
"181",0,11
"182",0,11
"183",0,11
"184",0,11
"185",0,11
"186",0,11
"187",0,11
"188",0,11
"189",0,11
"190",0,11
"191",0,11
"192",0,11
"193",0,11
"194",0,11
"195",0,11
"196",0,11
"197",0,11
"198",0,11
"199",0,11
"200",0,11
"201",0,11
"202",0,11
"203",0,11
"204",0,11
"205",0,11
"206",0,11
"207",0,11
"208",0,11
"209",0,11
"210",0,11
"211",0,11
"212",0,11
"213",0,11
"214",0,11
"215",0,11
"216",0,11
"217",0,12
"218",0,12
"219",0,12
"220",0,12
"221",0,12
"222",0,12
"223",0,12
"224",0,12
"225",0,12
"226",0,12
"227",0,12
"228",0,12
"229",0,12
"230",0,12
"231",0,12
"232",0,12
"233",0,12
"234",0,12
"235",0,12
"236",0,12
"237",0,12
"238",0,12
"239",0,12
"240",0,12
"241",0,12
"242",0,12
"243",0,12
"244",0,12
"245",0,12
"246",0,12
"247",0,12
"248",0,12
"249",0,12
"250",0,12
"251",0,12
"252",0,12
"253",0,12
"254",0,12
"255",0,13
"256",0,13
"257",0,13
"258",0,13
"259",0,13
"260",0,13
"261",0,13
"262",0,13
"263",0,13
"264",0,14
"265",0,14
"266",0,14
"267",0,14
"268",0,14
"269",0,14
"270",0,14
"271",0,15
"272",0,15
"273",0,16
"274",0,16
"275",0,16
"276",0,16
"277",0,16
"278",0,16
"279",0,16
"280",0,16
"281",0,16
"282",0,16
"283",0,16
"284",0,16
"285",0,16
"286",0,16
"287",0,16
"288",0,16
"289",0,16
"290",0,16
"291",0,16
"292",0,16
"293",0,16
"294",0,16
"295",0,16
"296",0,16
"297",0,16
"298",0,16
"299",0,16
"300",0,16
"301",0,16
"302",0,16
"303",0,16
"304",0,16
"305",0,16
"306",0,16
"307",0,16
"308",0,16
"309",0,16
"310",0,16
"311",0,16
"312",0,16
"313",0,16
"314",0,17
"315",0,17
"316",0,17
"317",0,17
"318",0,17
"319",0,18
"320",0,18
"321",0,18
"322",0,18
"323",0,18
"324",0,18
"325",0,19
"326",0,19
"327",0,19
"328",0,19
"329",0,19
"330",0,19
"331",0,19
"332",0,19
"333",0,19
"334",0,19
"335",0,19
"336",0,19
"337",0,19
"338",0,19
"339",0,19
"340",0,20
"341",0,20
"342",0,20
"343",0,20
"344",0,20
"345",0,20
"346",0,20
"347",0,20
"348",0,20
"349",0,21
"350",0,21
"351",0,21
"352",0,21
"353",0,21
"354",0,21
"355",0,21
"356",0,21
"357",0,21
"358",0,21
"359",0,21
"360",0,21
"361",0,21
"362",0,21
"363",0,21
"364",0,21
"365",0,21
"366",0,21
"367",0,21
"368",0,21
"369",0,21
"370",0,21
"371",0,21
"372",0,21
"373",0,21
"374",0,21
"375",0,21
"376",0,21
"377",0,21
"378",0,21
"379",0,21
"380",0,21
"381",0,21
"382",0,21
"383",0,21
"384",0,21
"385",0,21
"386",0,21
"387",0,21
"388",0,21
"389",0,21
"390",0,22
"391",0,22
"392",0,22
"393",0,22
"394",0,22
"395",0,23
"396",0,23
"397",0,23
"398",0,23
"399",0,23
"400",0,23
"401",0,23
"402",0,23
"403",0,23
"404",0,23
"405",0,23
"406",0,23
"407",0,23
"408",0,23
"409",0,23
"410",0,23
"411",0,23
"412",0,23
"413",0,23
"414",0,23
"415",0,23
"416",0,23
"417",0,23
"418",0,23
"419",0,23
"420",0,24
"421",0,24
"422",0,24
"423",0,24
"424",0,24
"425",0,25
"426",0,25
"427",0,25
"428",0,25
"429",0,25
"430",0,25
"431",0,25
"432",0,25
"433",0,25
"434",0,25
"435",0,25
"436",0,25
"437",0,25
"438",0,25
"439",0,25
"440",0,25
"441",0,25
"442",0,25
"443",0,25
"444",0,25
"445",0,25
"446",0,25
"447",0,26
"448",0,27
"449",0,27
"450",0,27
"451",0,27
"452",0,27
"453",0,27
"454",0,27
"455",0,27
"456",0,27
"457",0,27
"458",0,28
"459",0,28
"460",0,28
"461",0,28
"462",0,28
"463",0,28
"464",0,28
"465",0,28
"466",0,28
"467",0,28
"468",0,28
"469",0,28
"470",0,28
"471",0,28
"472",0,28
"473",0,28
"474",0,28
"475",0,28
"476",0,28
"477",0,28
"478",0,28
"479",0,28
"480",0,28
"481",0,28
"482",0,28
"483",0,28
"484",0,28
"485",0,28
"486",0,29
"487",0,29
"488",0,29
"489",0,29
"490",0,29
"491",0,29
"492",0,29
"493",0,29
"494",0,29
"495",0,30
"496",0,30
"497",0,30
"498",0,30
"499",0,30
"500",0,30
"501",0,30
"502",0,30
"503",0,30
"504",0,30
"505",0,30
"506",0,30
"507",0,30
"508",0,30
"509",0,30
"510",0,30
"511",0,30
"512",0,30
"513",0,30
"514",0,31
"515",0,31
"516",0,31
"517",0,31
"518",0,31
"519",0,31
"520",0,31
"521",0,32
"522",0,32
"523",0,32
"524",0,32
"525",0,32
"526",0,32
"527",0,32
"528",0,32
"529",0,32
"530",0,32
"531",0,32
"532",0,32
"533",0,32
"534",0,32
"535",0,32
"536",0,32
"537",0,32
"538",0,33
"539",0,33
"540",0,33
"541",0,34
"542",0,34
"543",0,34
"544",0,34
"545",0,34
"546",0,34
"547",0,34
"548",0,34
"549",0,34
"550",0,34
"551",0,34
"552",0,34
"553",0,34
"554",0,34
"555",0,34
"556",0,34
"557",0,34
"558",0,34
"559",0,34
"560",0,35
"561",0,35
"562",0,35
"563",0,35
"564",0,35
